gene_name	transcript_name	1	7	12	14	1_pct	7_pct	12_pct	14_pct	p.value	statistic	major_group	p.value.adjusted
TRMT13	ISOT-e8b9-1496-7d8a-3e3a:s100133150:e100150500:AP:FL	101.198001173118	62.3975275469931	27.5109507284171	29.7250126508136	0.475107986728255	0.588655920254652	0.466287300481645	0.56084929529837	0.00311688972671622	13.8498042220038	astrocytes	0.0124234038392513
U2AF1L4	ISOT-1759-8744-5ead-c0df:s35742500:e35745450:AP:FL	89.6050693671655	38.0558138124952	23.0336759176615	20.5223371828976	0.217242401836356	0.203688113952317	0.167072223888764	0.214037335486481	0.00317014847486505	13.8136169622553	astrocytes	0.0126201932000231
U2AF1L4	ISOT-e757-2ad6-ec3f-9959:s35742500:e35745450:EC:FL	14.7955336253175	7.73811585566836	16.0672432717883	8.53293305855317	0.0358709310077532	0.0414171204418729	0.116541974228314	0.0889940672673112	0.00317014847486505	13.8136169622553	astrocytes	0.0126201932000231
YME1L1	ISOT-643d-64b4-ca85-059a:s27110450:e27154400:AP:FL	400.923447333202	173.654646507188	190.991403884512	86.6303410993972	0.220920580667578	0.197194398961188	0.265686108397753	0.180554262743431	0.00318813897368396	13.8015290781149	astrocytes	0.0126847041551671
YME1L1	ISOT-e2fb-39b2-e639-83a6:s27110100:e27154400:AP:FL	1067.55900216323	549.100573400129	414.905595898175	300.705797661448	0.588256327295303	0.623533891656624	0.577170756822611	0.626728613906101	0.00318813897368396	13.8015290781149	astrocytes	0.0126847041551671
SRSF9	ISOT-0d62-bb2b-c81c-9d3e:s120461650:e120469600:EC:FL	105.92750429272	36.2497463444957	28.2861112877284	20.373383079005	0.143681174100794	0.108209854529253	0.0714313254840559	0.0979131824660872	0.00319358957424288	19.6516570023675	astrocytes	0.0126957248659325
SRSF9	ISOT-453b-d0f8-2d18-4882:s120461650:e120469650:EC:FL	461.032705604366	207.089332826763	275.955524489013	142.966115438179	0.625349581134743	0.618186576170254	0.696874472718694	0.687086052084861	0.00319358957424288	19.6516570023675	astrocytes	0.0126957248659325
SRSF9	ISOT-58d4-505c-cd1e-cfc4:s120461650:e120495950:AP:FL	133.147497559338	69.5343321473374	61.1881527422461	30.0307111500781	0.180602657502836	0.207568348063617	0.1545193261046	0.144325686559837	0.00319358957424288	19.6516570023675	astrocytes	0.0126957248659325
ASPSCR1	ISOT-bbff-b505-b369-1468:s81977600:e82017450:AP:FL	270.080545545988	119.036642909657	51.3018469289824	52.8837852653895	0.50023788622358	0.502297660762235	0.366620692706015	0.51846869724859	0.00323331168764261	13.7714727272452	astrocytes	0.0128254477366088
ASPSCR1	ISOT-e76a-ae0a-2345-6d06:s81977600:e81995200:AP:FL	139.127290303659	49.1823385526568	50.6642856477376	20.868345763853	0.257688836775792	0.207534192849887	0.362064459888586	0.204591709682306	0.00323331168764261	13.7714727272452	astrocytes	0.0128254477366088
NOP56	ISOT-095e-d52e-01c0-12bd:s2656900:e2658400:AP:FL	161.259269818642	90.2198874006353	57.1654891983102	90.1369023195745	0.102909553170799	0.124958292798664	0.118847170890458	0.129693384632481	0.00323434538571716	24.7717278500882	astrocytes	0.0128254477366088
NOP56	ISOT-2292-fcce-1230-e5ad:s2656600:e2658400:AP:FL	265.196783403985	120.100475114962	68.7832461434936	122.064706434556	0.16923853439948	0.166344148358673	0.143000511732835	0.175632671128857	0.00323434538571716	24.7717278500882	astrocytes	0.0128254477366088
NOP56	ISOT-c9c2-5604-6969-d3a0:s2655900:e2658400:AP:FL	254.36225492054	92.9738041987567	64.0220474388326	131.380363319403	0.162324349023957	0.128772581992738	0.133101969727303	0.189036493984753	0.00323434538571716	24.7717278500882	astrocytes	0.0128254477366088
NOP56	ISOT-d32f-fac3-33df-d5c1:s2652600:e2658400:AP:FL	359.388632934139	230.678973205175	140.438012671252	184.229668772526	0.229348202255353	0.319499962888054	0.291970920314454	0.265078660104354	0.00323434538571716	24.7717278500882	astrocytes	0.0128254477366088
OSBPL11	ISOT-8179-1294-c7fc-a154:s125529500:e125595300:NC:FL	38.6287822249546	23.6168143545649	12.5804881722116	28.5602283919617	0.126651744999851	0.214698312314226	0.117574655815062	0.238001903266348	0.00323145109803055	19.6227951010067	astrocytes	0.0128254477366088
OSBPL11	ISOT-acac-1a5b-a22f-e73e:s125528850:e125595500:AP:FL	252.455105598329	81.4678458743229	87.9540751189946	78.5793067287127	0.827721657699439	0.740616780675663	0.822000702046679	0.654827556072606	0.00323145109803055	19.6227951010067	astrocytes	0.0128254477366088
OSBPL11	ISOT-e880-d73b-7a4a-736f:s125529400:e125595050:NC:FL	13.9161121767165	4.9153397711122	6.46543670879375	12.8604648793256	0.0456265973007097	0.0446849070101109	0.0604246421382594	0.107170540661046	0.00323145109803055	19.6227951010067	astrocytes	0.0128254477366088
MRPL52	ISOT-2440-d7ca-d3b4-fc91:s22829850:e22834350:EC:FL	1330.99641309909	669.544925023531	781.839153950382	389.698558133664	0.20157449842482	0.23223896115974	0.213675636499148	0.212601504710127	0.00325193404361765	24.7571182325248	astrocytes	0.0128808137417674
MRPL52	ISOT-60ed-c760-9292-5119:s22829900:e22834350:AP:FL	720.750757476145	299.899519925329	365.530124236691	172.636333953817	0.109155044294434	0.10402342002266	0.0998989134289945	0.0941823971379252	0.00325193404361765	24.7571182325248	astrocytes	0.0128808137417674
MRPL52	ISOT-8082-c6d4-88c1-78fd:s22829850:e22834750:AP:FL	513.785340343015	228.723594836984	292.960172206604	184.305707020006	0.077810895099654	0.0793352739635741	0.0800656387555626	0.100548667223135	0.00325193404361765	24.7571182325248	astrocytes	0.0128808137417674
MRPL52	ISOT-b2de-4fa1-c4fd-e98c:s22829850:e22835050:AP:FL	3447.76741903117	1449.86946139763	1865.87228292376	909.580277468441	0.52215166121932	0.502903038986344	0.509940498202723	0.496224919513607	0.00325193404361765	24.7571182325248	astrocytes	0.0128808137417674
MED6	ISOT-73af-e8d0-fd25-11e5:s70583200:e70600700:AP:FL	493.276575920137	208.279990195644	134.792731660272	157.056568811446	0.652482243280604	0.642839475912483	0.635814771982416	0.671181917997632	0.00327568516039303	13.7436546409838	astrocytes	0.0129676608411436
MED6	ISOT-ac13-35d6-8cef-9057:s70584200:e70600700:NC:FL	65.6469764803053	30.8520673829733	37.5971879649234	17.4260794002961	0.0868346249739488	0.0952224301943621	0.177345226249639	0.0744704247875902	0.00327568516039303	13.7436546409838	astrocytes	0.0129676608411436
VPS41	ISOT-513c-c74e-3cd1-7c7e:s38725550:e38909200:EC:FL	37.0457659760585	22.1349586536886	12.9094059683206	13.7869049872249	0.0711726461551157	0.093792197685121	0.0746208437475179	0.130065141388914	0.00328059413122964	19.5858210933096	astrocytes	0.0129762476103872
